0,3620726
0,2913685
-0,2787824
-0,4396034
0,2858589
0,3526279
-0,209537
0,002442122
0,2220702
0,3727244
0,02730793
-0,272052
0,01204461
0,3432784
0,3270861
0,3989117
0,07625586
0,0406267
0,3043551
-0,1216492
0,4352126
-0,1987422
0,3499086
0,3091145
0,0903073
-0,05009091
0,1424341
0,4504752
-0,4259211
0,4062197
0,4917446
0,2763637
-0,08483824
-0,03550333
0,2760006
-0,4418139
-0,2328628
0,01339161
-0,225385
-0,05171943
-0,3112215
0,02318704
-0,3172688
-0,3524768
0,4132428
0,1567948
-0,03843242
-0,07685107
-0,4699597
-0,247327
0,09771895
-0,198489
0,4624783
-0,1235306
0,4728199
0,06081486
0,4414599
-0,08789685
-0,02991077
-0,1640502
-0,2898063
-0,1600122
-0,07163671
0,3158506
0,3809798
0,2509443
0,3127862
-0,4524521
-0,4327222
0,2689
0,1317744
-0,4371357
-0,2339883
-0,1439255
-0,3104277
-0,08797446
-0,3814734
0,2023854
0,3958717
0,4335125
0,4883415
-0,2807148
0,420435
0,3214058
-0,1914993
0,1902336
0,3138854
-0,4613076
-0,008323252
-0,2848142
-0,3832738
0,3550341
-0,4566976
0,4386652
-0,2619132
0,3487907
-0,4051762
-0,1331193
-0,2334566
-0,3377014
